,time,rtt,queue_delay,packet_loss,server_sending_rate,sending_rate_ewma,delivery_rate,bandwidth
0,1648199282.077,22.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1648199282.13,26.0,0.0,0.0,43.33584,5.41698,0.0,0.0
2,1648199282.185,36.0,0.0,0.0,43.33584,35.69832795067497,40.3,0.0
3,1648199282.236,28.0,0.0,0.0,34.05712,38.86486241961788,40.3,0.0
4,1648199282.287,27.0,0.0,0.0,34.05712,35.945100754604034,36.94,0.0
5,1648199282.339,29.0,0.0,0.0,43.65216,37.72091443730367,36.94,0.0
6,1648199282.391,35.0,0.0,0.0,43.65216,42.45750490085938,40.19,0.0
7,1648199282.445,47.0,0.0,0.0,41.43792,42.3766844604821,40.19,0.0
8,1648199282.497,36.0,0.0,0.0,41.43792,41.72016685865539,40.82,0.0
9,1648199282.549,45.0,0.0,0.0,31.21024,36.55309099900623,40.82,0.0
10,1648199282.603,25.0,0.0,0.0,31.21024,33.30835570180635,34.32,0.0
11,1648199282.658,23.0,0.0,0.0,29.5232,30.91115050813811,29.8,0.0
12,1648199282.713,33.0,0.0,0.0,29.5232,29.802757157830477,29.8,0.0
13,1648199282.773,24.0,0.0,0.0,49.5568,42.737428002133704,46.91,0.0
14,1648199282.824,26.0,0.0,0.0,49.5568,47.21360298133663,46.91,0.0
15,1648199282.88,25.0,0.0,0.0,26.36,34.54912446978518,29.8,0.0
16,1648199282.931,23.0,0.0,0.0,31.21024,29.78013618046177,29.8,0.0
17,1648199282.986,24.0,0.0,0.0,31.21024,30.83401461370089,29.91,0.0
18,1648199283.039,35.0,0.0,0.0,44.91744,35.65890859682598,29.91,48.0
19,1648199283.092,38.0,0.0,0.0,44.91744,42.133790304776106,43.76,48.0
20,1648199283.146,38.0,0.0,0.0,34.16256,39.73456295571571,43.76,48.0
21,1648199283.203,22.0,0.0,0.0,34.16256,36.350662736548884,36.21,48.0
22,1648199283.259,23.0,0.0,0.0,30.89392,33.835505046477294,36.21,48.0
23,1648199283.313,22.0,0.0,0.0,30.89392,31.66777918093692,31.8,48.0
24,1648199283.365,38.0,0.0,0.0,36.69312,33.98456341512468,31.8,48.0
25,1648199283.419,31.0,0.0,0.0,36.69312,35.87877133241326,35.26,48.0
26,1648199283.478,23.0,0.0,0.0,31.632,33.86241780215106,29.17,48.0
27,1648199283.531,35.0,0.0,0.0,30.26128,32.22705144279111,29.17,48.0
28,1648199283.595,25.0,0.0,0.0,30.26128,30.77842645491867,31.48,48.0
29,1648199283.649,27.0,0.0,0.0,22.24784,27.8483116579999,31.48,48.0
30,1648199283.7,26.0,0.0,0.0,22.24784,24.761305462082028,22.35,48.0
31,1648199283.75,25.0,0.0,0.0,35.53328,29.38029048593323,22.35,48.0
32,1648199283.803,31.0,0.0,0.0,35.53328,34.293961846631056,40.09,48.0
33,1648199283.856,37.0,0.0,0.0,46.07728,39.52397011010963,40.09,48.0
34,1648199283.908,45.0,0.0,0.0,46.07728,43.825504293795234,39.15,48.0
35,1648199283.961,29.0,0.0,0.0,23.724,34.30493395472765,39.15,48.0
36,1648199284.012,26.0,0.0,0.0,23.724,28.47267362533475,31.38,48.0
37,1648199284.065,26.0,0.0,0.0,33.95168,30.78927086725253,31.38,48.0
38,1648199284.118,38.0,0.0,0.0,33.95168,32.86504802656223,30.54,48.0
39,1648199284.17,26.0,0.0,0.0,34.47888,33.92435294531428,30.54,48.0
40,1648199284.221,27.0,0.0,0.0,34.47888,34.261119497090796,31.69,48.0
41,1648199284.276,26.0,0.0,0.0,25.3056,27.998146801764072,30.96,48.0
42,1648199284.326,24.0,0.0,0.0,25.3056,26.013943301222156,30.96,48.0
43,1648199284.379,26.0,0.0,0.0,37.85296,34.29346726943525,37.68,48.0
44,1648199284.432,27.0,0.0,0.0,45.8664,38.911746349173754,37.68,48.0
45,1648199284.488,38.0,0.0,0.0,45.8664,44.46561287040096,45.55,48.0
46,1648199284.541,35.0,0.0,0.0,42.59776,44.14526387661036,45.55,48.0
47,1648199284.605,22.0,0.0,0.0,42.59776,43.063029113091446,37.47,48.0
48,1648199284.657,28.0,0.0,0.0,24.88384,35.42728530300729,37.47,48.0
49,1648199284.712,32.0,0.0,0.0,24.88384,28.05380908324623,33.48,48.0
50,1648199284.762,34.0,0.0,0.0,29.94496,28.400891659678788,33.48,48.0
51,1648199284.815,46.0,0.0,0.0,29.94496,29.48072380769563,28.23,48.0
52,1648199284.869,22.0,0.0,0.0,37.00944,33.656630796528376,28.23,48.0
53,1648199284.924,28.0,0.0,0.0,37.00944,35.85738486469135,29.07,48.0
54,1648199284.975,33.0,0.0,0.0,31.84288,33.04987220604705,29.07,48.0
55,1648199285.046,24.0,0.0,0.0,21.088,31.040212451664846,36.84,48.0
56,1648199285.1,24.0,0.0,0.0,21.088,26.92180422276545,17.31,48.0
57,1648199285.155,27.0,0.0,0.0,16.76496,21.917230704514054,17.31,48.0
58,1648199285.206,28.0,0.0,0.0,16.76496,18.53532615071615,26.13,48.0
59,1648199285.258,30.0,0.0,0.0,41.43792,32.15647225715019,26.13,48.0
60,1648199285.321,23.0,0.0,0.0,41.43792,39.30141306398842,45.97,48.0
61,1648199285.376,27.0,0.0,0.0,32.6864,36.216278496571256,45.97,48.0
62,1648199285.432,22.0,0.0,0.0,25.20016,32.81190550774148,27.7,48.0
63,1648199285.486,24.0,0.0,0.0,25.20016,29.66202546974788,27.7,48.0
64,1648199285.537,26.0,0.0,0.0,21.50976,27.027390668641747,20.04,48.0
65,1648199285.59,24.0,0.0,0.0,21.50976,23.405667091868917,20.04,48.0
66,1648199285.642,26.0,0.0,0.0,40.5944,29.843755408290694,31.06,48.0
67,1648199285.696,35.0,0.0,0.0,40.5944,38.429034859613644,31.06,48.0
68,1648199285.748,41.0,0.0,0.0,45.23376,42.20315687859588,45.23,48.0
69,1648199285.801,36.0,0.0,0.0,45.23376,44.192417747216616,45.23,48.0
70,1648199285.857,22.0,0.0,0.0,26.46544,37.109270126913316,39.46,48.0
71,1648199285.909,26.0,0.0,0.0,26.46544,30.645228491348544,39.46,48.0
72,1648199285.961,31.0,0.0,0.0,34.268,32.30356691462179,26.03,48.0
73,1648199286.018,23.0,0.0,0.0,34.268,33.75120563422885,26.03,48.0
74,1648199286.069,30.0,0.0,0.0,41.54336,39.23700477992334,39.04,48.0
75,1648199286.121,26.0,0.0,0.0,41.54336,40.849936310445585,40.3,48.0
76,1648199286.173,24.0,0.0,0.0,32.6864,35.491463860773614,40.3,48.0
77,1648199286.224,33.0,0.0,0.0,32.6864,33.33210081743068,39.15,48.0
78,1648199286.281,25.0,0.0,0.0,49.13504,44.977672669463644,39.15,48.0
79,1648199286.333,35.0,0.0,0.0,32.47552,44.39309955493015,41.56,48.0
80,1648199286.396,27.0,0.0,0.0,32.47552,37.15550467417043,41.56,48.0
81,1648199286.452,32.0,0.0,0.0,31.84288,33.44491161772027,33.48,48.0
82,1648199286.516,22.0,0.0,0.0,31.84288,32.56186429028767,33.48,48.0
83,1648199286.569,26.0,0.0,0.0,23.93488,28.273306047981443,23.61,48.0
84,1648199286.62,32.0,0.0,0.0,23.93488,25.07621393221687,23.61,48.0
85,1648199286.68,23.0,0.0,0.0,35.8496,32.098746929313876,35.68,48.0
86,1648199286.733,25.0,0.0,0.0,38.38016,35.45594216732338,33.48,48.0
87,1648199286.784,32.0,0.0,0.0,38.38016,37.707030995235044,33.48,48.0
88,1648199286.835,27.0,0.0,0.0,45.55008,39.858228513415845,41.35,48.0
89,1648199286.891,24.0,0.0,0.0,45.55008,44.05269289072791,41.35,48.0
90,1648199286.943,33.0,0.0,0.0,32.47552,40.71993818884141,36.21,48.0
91,1648199287.003,22.0,0.0,0.0,32.47552,35.30837559531756,36.21,48.0
92,1648199287.056,31.0,0.0,0.0,34.16256,34.147042564741504,32.43,48.0
93,1648199287.108,32.0,0.0,0.0,34.16256,34.1578945620329,32.43,48.0
