,time,rtt,queue_delay,packet_loss,server_sending_rate,sending_rate_ewma,delivery_rate,bandwidth
0,1652283018.908,52.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1652283018.967,56.0,0.0,0.0,29.62864,16.33144507141113,0.0,0.0
2,1652283019.017,27.0,0.0,0.0,29.62864,28.823392938340188,26.97,0.0
3,1652283019.068,29.0,0.0,0.0,68.95776,63.58724024782519,26.97,0.0
4,1652283019.119,29.0,0.0,0.0,68.95776,68.63253386973344,84.17,0.0
5,1652283019.172,34.0,0.0,0.0,87.93696,85.67041714566734,84.17,0.0
6,1652283019.223,34.0,0.0,0.0,87.93696,87.78009538234372,88.58,0.0
7,1652283019.274,29.0,0.0,0.0,88.5696,88.49593084786021,88.58,0.0
8,1652283019.326,28.0,0.0,0.0,88.5696,88.5656964222126,89.32,0.0
9,1652283019.381,31.0,0.0,0.0,91.2056,90.89410499683855,86.17,0.0
10,1652283019.432,29.0,0.0,0.0,91.2056,91.18404181746692,86.17,0.0
11,1652283019.482,30.0,0.0,0.0,88.78048,88.99820698259815,88.37,0.0
12,1652283019.533,33.0,0.0,0.0,88.78048,88.7977012733911,88.37,0.0
13,1652283019.587,32.0,0.0,0.0,85.19552,85.48011788791976,86.8,0.0
14,1652283019.637,30.0,0.0,0.0,85.19552,85.21060026034463,86.8,0.0
15,1652283019.689,31.0,0.0,0.0,87.93696,87.77185802314133,87.43,0.0
16,1652283019.74,28.0,0.0,0.0,90.25664,88.21549349711049,87.43,0.0
17,1652283019.79,28.0,0.0,0.0,90.25664,90.1484838190454,89.11,0.0
18,1652283019.841,28.0,0.0,0.0,88.99136,89.95260464496242,89.11,156.8756103515625
19,1652283019.892,31.0,0.0,0.0,88.99136,89.04957073016142,89.95,156.8756103515625
20,1652283019.944,31.0,0.0,0.0,88.14784,88.71696119238177,89.95,156.8756103515625
21,1652283019.995,32.0,0.0,0.0,88.14784,88.19928577478095,88.06,156.8756103515625
22,1652283020.046,32.0,0.0,0.0,87.09344,87.80445607165043,88.06,156.8756103515625
23,1652283020.096,28.0,0.0,0.0,87.09344,87.13649747231382,85.96,156.8756103515625
24,1652283020.147,29.0,0.0,0.0,90.57296,88.24493339171477,85.96,156.8756103515625
25,1652283020.198,31.0,0.0,0.0,90.57296,90.41184016804786,88.79,156.8756103515625
26,1652283020.25,34.0,0.0,0.0,89.72944,90.36251611019051,88.79,156.8756103515625
27,1652283020.301,29.0,0.0,0.0,89.72944,89.76777761032122,91.31,156.8756103515625
28,1652283020.353,30.0,0.0,0.0,85.82816,87.83148300819191,91.31,156.8756103515625
29,1652283020.404,29.0,0.0,0.0,85.82816,85.93431199128428,85.01,156.8756103515625
30,1652283020.457,29.0,0.0,0.0,87.72608,86.88073070552942,85.01,156.8756103515625
31,1652283020.508,28.0,0.0,0.0,87.72608,87.68128666883385,88.58,156.8756103515625
32,1652283020.56,29.0,0.0,0.0,89.30768,88.68421865152654,88.58,156.8756103515625
33,1652283020.612,29.0,0.0,0.0,89.30768,89.27464405753912,88.58,156.8756103515625
34,1652283020.665,32.0,0.0,0.0,89.20224,89.23646954458148,88.58,156.8756103515625
35,1652283020.715,28.0,0.0,0.0,89.20224,89.20431286125711,88.48,156.8756103515625
36,1652283020.765,29.0,0.0,0.0,88.35872,88.58077297016044,88.48,156.8756103515625
