,time,rtt,queue_delay,packet_loss,server_sending_rate,sending_rate_ewma,delivery_rate,bandwidth
0,1652283340.2,51.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1652283340.25,50.0,0.0,0.0,29.94496,14.585922441406248,0.0,0.0
2,1652283340.303,33.0,0.0,0.0,29.94496,28.73012579955149,29.28,0.0
3,1652283340.354,34.0,0.0,0.0,71.48832,61.82931886218657,29.28,0.0
4,1652283340.405,28.0,0.0,0.0,71.48832,70.72433430886397,86.48,0.0
5,1652283340.455,26.0,0.0,0.0,87.62064,84.3184381616563,86.48,0.0
6,1652283340.506,27.0,0.0,0.0,87.62064,87.42066637085384,88.06,0.0
7,1652283340.561,31.0,0.0,0.0,91.10016,90.4730891788679,88.06,0.0
8,1652283340.611,29.0,0.0,0.0,91.10016,91.05676120680606,88.16,0.0
9,1652283340.663,32.0,0.0,0.0,89.30768,89.54691803291702,88.16,0.0
10,1652283340.713,31.0,0.0,0.0,89.30768,89.32216769639598,88.69,0.0
11,1652283340.764,26.0,0.0,0.0,89.72944,89.67329798813583,88.69,0.0
12,1652283340.816,28.0,0.0,0.0,89.72944,89.72604017091328,91.31,0.0
13,1652283340.868,28.0,0.0,0.0,88.25328,88.4055742865729,91.31,0.0
14,1652283340.919,27.0,0.0,0.0,88.25328,88.2638200985421,88.9,0.0
15,1652283340.971,30.0,0.0,0.0,91.83824,91.51473563218188,88.9,0.0
16,1652283341.025,30.0,0.0,0.0,91.83824,91.8158506642454,91.0,0.0
17,1652283341.076,29.0,0.0,0.0,89.20224,89.38331844225786,88.69,0.0
18,1652283341.127,29.0,0.0,0.0,89.20224,89.21183497651933,88.69,156.8756103515625
19,1652283341.179,30.0,0.0,0.0,89.94032,89.89620464877211,87.64,156.8756103515625
20,1652283341.232,31.0,0.0,0.0,88.99136,89.81902847738635,87.64,156.8756103515625
21,1652283341.283,32.0,0.0,0.0,88.99136,89.04148166949669,87.43,156.8756103515625
22,1652283341.333,28.0,0.0,0.0,89.51856,89.06029525121683,87.43,156.8756103515625
23,1652283341.384,29.0,0.0,0.0,89.51856,89.48684406554686,87.85,156.8756103515625
24,1652283341.436,29.0,0.0,0.0,88.99136,89.3428622499627,87.85,156.8756103515625
25,1652283341.488,29.0,0.0,0.0,88.99136,89.01264615512288,90.58,156.8756103515625
26,1652283341.538,31.0,0.0,0.0,91.2056,89.51200614385728,90.58,156.8756103515625
27,1652283341.588,28.0,0.0,0.0,91.2056,91.10303991243056,89.32,156.8756103515625
28,1652283341.639,28.0,0.0,0.0,85.82816,88.58086257696625,89.32,156.8756103515625
29,1652283341.691,30.0,0.0,0.0,85.82816,86.04588700414361,87.11,156.8756103515625
30,1652283341.742,29.0,0.0,0.0,90.88928,88.30657136686979,87.11,156.8756103515625
31,1652283341.793,29.0,0.0,0.0,90.88928,90.73287719857305,89.11,156.8756103515625
32,1652283341.843,30.0,0.0,0.0,90.25664,90.61801056483893,89.11,156.8756103515625
33,1652283341.894,29.0,0.0,0.0,90.25664,90.27578828756637,89.95,156.8756103515625
34,1652283341.945,32.0,0.0,0.0,88.14784,89.09541914343431,89.95,156.8756103515625
35,1652283341.997,31.0,0.0,0.0,88.14784,88.21342077635713,87.01,156.8756103515625
36,1652283342.048,27.0,0.0,0.0,90.04576,89.07683863717796,87.01,156.8756103515625
37,1652283342.099,29.0,0.0,0.0,90.04576,89.98708438573831,91.21,156.8756103515625
38,1652283342.152,32.0,0.0,0.0,87.5152,88.50538728813544,91.21,149.37973022460938
39,1652283342.204,31.0,0.0,0.0,87.5152,87.57516342901988,86.8,149.37973022460938
40,1652283342.256,30.0,0.0,0.0,89.41312,88.67144583548405,86.8,149.37973022460938
41,1652283342.308,30.0,0.0,0.0,89.41312,89.37382020205159,89.21,149.37973022460938
42,1652283342.361,30.0,0.0,0.0,89.51856,89.47922142993333,89.21,149.37973022460938
43,1652283342.412,31.0,0.0,0.0,89.51856,89.51647552958268,88.48,149.37973022460938
44,1652283342.462,30.0,0.0,0.0,87.19888,87.73272352779226,88.48,149.37973022460938
45,1652283342.513,27.0,0.0,0.0,87.19888,87.23582664793803,90.05,149.37973022460938
46,1652283342.566,31.0,0.0,0.0,92.15456,91.01636345677153,90.05,149.37973022460938
47,1652283342.617,27.0,0.0,0.0,92.15456,92.09424929172059,88.79,149.37973022460938
48,1652283342.669,29.0,0.0,0.0,89.20224,89.71936138142893,88.79,149.37973022460938
49,1652283342.72,29.0,0.0,0.0,89.20224,89.24314209022187,90.79,149.37973022460938
50,1652283342.773,29.0,0.0,0.0,89.94032,89.81347589980662,90.79,149.37973022460938
51,1652283342.825,31.0,0.0,0.0,89.94032,89.93154127726785,87.95,149.37973022460938
52,1652283342.875,28.0,0.0,0.0,88.46416,88.63798074460398,87.95,149.37973022460938
53,1652283342.926,28.0,0.0,0.0,88.46416,88.47468617823529,89.42,149.37973022460938
54,1652283342.977,31.0,0.0,0.0,90.36208,90.07003905931177,89.42,149.37973022460938
55,1652283343.028,28.0,0.0,0.0,90.36208,90.34439468286081,89.21,149.37973022460938
56,1652283343.081,32.0,0.0,0.0,88.67504,88.87282506551948,89.21,149.37973022460938
57,1652283343.132,28.0,0.0,0.0,88.67504,88.68552022633658,88.48,153.41949462890625
58,1652283343.185,29.0,0.0,0.0,89.51856,89.4320517024357,88.48,153.41949462890625
59,1652283343.238,32.0,0.0,0.0,89.51856,89.51397610214053,90.47,153.41949462890625
60,1652283343.289,27.0,0.0,0.0,90.88928,90.78061901739179,87.43,153.41949462890625
61,1652283343.341,28.0,0.0,0.0,90.88928,90.88175970826651,87.43,153.41949462890625
62,1652283343.394,31.0,0.0,0.0,90.78384,90.79073888663814,90.37,153.41949462890625
63,1652283343.444,30.0,0.0,0.0,90.78384,90.78425778045849,90.37,153.41949462890625
64,1652283343.494,28.0,0.0,0.0,87.40976,87.61411170251206,87.43,153.41949462890625
65,1652283343.545,28.0,0.0,0.0,87.40976,87.42390292768421,87.43,153.41949462890625
66,1652283343.602,34.0,0.0,0.0,89.41312,89.27544875549316,87.85,153.41949462890625
67,1652283343.653,36.0,0.0,0.0,85.9336,88.58807944404886,87.85,153.41949462890625
68,1652283343.704,26.0,0.0,0.0,85.9336,86.11731322751349,86.06,153.41949462890625
69,1652283343.755,27.0,0.0,0.0,89.51856,87.42685685402937,86.06,153.41949462890625
70,1652283343.806,29.0,0.0,0.0,89.51856,89.32948025671033,90.68,153.41949462890625
71,1652283343.859,28.0,0.0,0.0,89.72944,89.62603146274522,90.68,153.41949462890625
72,1652283343.91,28.0,0.0,0.0,89.72944,89.72396059298444,91.1,153.41949462890625
73,1652283343.962,29.0,0.0,0.0,90.78384,90.31025099310608,91.1,153.41949462890625
74,1652283344.015,29.0,0.0,0.0,90.78384,90.75516055608094,89.42,153.41949462890625
75,1652283344.065,31.0,0.0,0.0,91.41648,91.16545238184563,89.42,153.41949462890625
76,1652283344.117,29.0,0.0,0.0,91.41648,91.40127835386335,89.32,153.41949462890625
77,1652283344.169,32.0,0.0,0.0,86.4608,88.16256374482015,89.32,150.82168579101562
78,1652283344.219,28.0,0.0,0.0,86.4608,86.55097298232454,87.53,150.82168579101562
79,1652283344.269,29.0,0.0,0.0,91.94368,90.0659543078882,87.53,150.82168579101562
80,1652283344.321,27.0,0.0,0.0,91.94368,91.82996931858962,89.32,150.82168579101562
81,1652283344.373,31.0,0.0,0.0,86.77712,88.12942969555519,89.32,150.82168579101562
82,1652283344.425,32.0,0.0,0.0,86.77712,86.88408191486549,89.63,150.82168579101562
83,1652283344.475,31.0,0.0,0.0,87.62064,87.43294654243842,89.63,150.82168579101562
84,1652283344.528,29.0,0.0,0.0,87.62064,87.60927372267562,87.74,150.82168579101562
85,1652283344.578,30.0,0.0,0.0,90.36208,89.80930445125406,87.74,150.82168579101562
86,1652283344.631,29.0,0.0,0.0,90.36208,90.33278955358038,88.48,150.82168579101562
87,1652283344.681,31.0,0.0,0.0,90.46752,90.44425541098462,88.48,150.82168579101562
88,1652283344.733,28.0,0.0,0.0,90.46752,90.46611115083704,90.79,150.82168579101562
89,1652283344.785,29.0,0.0,0.0,88.5696,88.8622037294149,90.79,150.82168579101562
90,1652283344.835,29.0,0.0,0.0,88.5696,88.58510447352106,88.37,150.82168579101562
91,1652283344.887,29.0,0.0,0.0,91.41648,91.03316117470366,88.37,150.82168579101562
92,1652283344.938,29.0,0.0,0.0,91.41648,91.39326710740072,91.52,150.82168579101562
93,1652283344.989,28.0,0.0,0.0,88.35872,88.71833509746128,91.52,150.82168579101562
94,1652283345.041,29.0,0.0,0.0,88.35872,88.38049745021519,87.32,150.82168579101562
95,1652283345.091,30.0,0.0,0.0,89.72944,89.54599071313088,87.32,150.82168579101562
96,1652283345.142,30.0,0.0,0.0,89.72944,89.71492994578033,87.53,144.6533203125
97,1652283345.192,29.0,0.0,0.0,91.94368,91.68148227512042,87.53,144.6533203125
98,1652283345.244,30.0,0.0,0.0,91.94368,91.92978667850745,91.63,144.6533203125
99,1652283345.295,27.0,0.0,0.0,90.88928,91.03059267367018,91.63,144.6533203125
100,1652283345.347,28.0,0.0,0.0,90.88928,90.89783756540075,89.63,144.6533203125
101,1652283345.398,27.0,0.0,0.0,90.57296,90.60200723020085,89.63,144.6533203125
102,1652283345.45,30.0,0.0,0.0,90.57296,90.57449915335393,88.69,144.6533203125
103,1652283345.5,29.0,0.0,0.0,90.04576,90.08754082244792,89.21,144.6533203125
104,1652283345.552,27.0,0.0,0.0,90.04576,90.04829014900437,89.21,144.6533203125
105,1652283345.603,30.0,0.0,0.0,88.35872,88.47563116431505,90.68,144.6533203125
106,1652283345.654,30.0,0.0,0.0,88.35872,88.36579986699792,90.68,144.6533203125
107,1652283345.706,30.0,0.0,0.0,89.51856,89.42725035531902,87.85,144.6533203125
108,1652283345.76,31.0,0.0,0.0,89.51856,89.51303050122408,87.85,144.6533203125
109,1652283345.81,28.0,0.0,0.0,88.99136,89.02751200409703,90.05,144.6533203125
110,1652283345.862,29.0,0.0,0.0,88.99136,88.99354928091438,90.05,144.6533203125
111,1652283345.913,32.0,0.0,0.0,89.624,89.58582137723097,87.01,144.6533203125
112,1652283345.963,29.0,0.0,0.0,88.99136,89.54260799179316,87.01,144.6533203125
113,1652283346.014,29.0,0.0,0.0,88.99136,89.02474229062754,89.0,144.6533203125
114,1652283346.065,29.0,0.0,0.0,90.25664,89.29022034689936,89.0,144.6533203125
115,1652283346.116,28.0,0.0,0.0,90.25664,90.20543139800554,87.95,144.6533203125
116,1652283346.168,29.0,0.0,0.0,89.30768,90.03112642669026,87.95,153.95736694335938
117,1652283346.219,32.0,0.0,0.0,89.30768,89.35774882923069,89.11,153.95736694335938
118,1652283346.269,29.0,0.0,0.0,87.40976,88.86588705133377,89.11,153.95736694335938
119,1652283346.32,29.0,0.0,0.0,87.40976,87.51053674583996,87.43,153.95736694335938
120,1652283346.373,29.0,0.0,0.0,90.1512,88.74976338728136,87.43,153.95736694335938
121,1652283346.424,29.0,0.0,0.0,90.1512,90.06633227259174,91.0,153.95736694335938
