,time,rtt,queue_delay,packet_loss,server_sending_rate,sending_rate_ewma,delivery_rate,bandwidth
0,1652283880.161,52.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1652283880.215,105.0,0.0,0.0,16.13232,2.01654,0.0,0.0
2,1652283880.308,197.0,0.0,0.0,4.53392,3.8751259375,5.19,0.0
3,1652283880.405,273.0,0.0,0.0,4.42848,4.016350795898438,4.51,0.0
4,1652283880.455,299.0,0.0,0.0,4.42848,4.067866946411133,3.98,0.0
5,1652283880.556,301.0,0.0,0.0,4.11216,4.078248130846024,4.19,0.0
6,1652283880.657,314.0,0.0,0.0,4.2176,4.110908725178987,4.19,0.0
7,1652283880.757,313.0,0.0,0.0,4.2176,4.135914492715162,3.98,0.0
8,1652283880.858,308.0,0.0,0.0,4.2176,4.155059533485045,4.19,0.0
9,1652283880.953,300.0,0.0,0.0,4.32304,4.182897455324487,4.4,0.0
10,1652283881.048,301.0,0.0,0.0,4.42848,4.228923364232811,4.3,0.0
11,1652283881.14,292.0,0.0,0.0,4.53392,4.288874450740746,4.3,156.8756103515625
12,1652283881.224,278.0,0.0,0.0,4.7448,4.3726670013483835,4.61,156.8756103515625
13,1652283881.313,276.0,0.0,0.0,4.7448,4.4598856729073555,4.93,156.8756103515625
14,1652283881.391,255.0,0.0,0.0,4.85024,4.551374968319694,5.03,156.8756103515625
15,1652283881.469,245.0,0.0,0.0,5.37744,4.744983960119765,5.35,156.8756103515625
16,1652283881.544,242.0,0.0,0.0,5.48288,4.9063958444666955,5.35,156.8756103515625
17,1652283881.615,230.0,0.0,0.0,5.48288,5.0415093184198145,5.56,156.8756103515625
18,1652283881.684,220.0,0.0,0.0,6.01008,5.268518071915171,5.98,156.8756103515625
19,1652283881.749,209.0,0.0,0.0,6.11552,5.455501648810053,5.98,156.8756103515625
20,1652283881.814,200.0,0.0,0.0,6.11552,5.610193449870197,6.19,156.8756103515625
21,1652283881.877,195.0,0.0,0.0,6.64272,5.852191860056869,6.82,156.8756103515625
22,1652283881.932,184.0,0.0,0.0,6.64272,6.03747189285604,6.82,156.8756103515625
23,1652283881.993,183.0,0.0,0.0,6.95904,6.253464417967906,7.13,156.8756103515625
24,1652283882.046,169.0,0.0,0.0,8.32976,6.590173695006678,7.13,156.8756103515625
25,1652283882.099,167.0,0.0,0.0,8.32976,6.997889235239488,7.55,149.37973022460938
26,1652283882.151,161.0,0.0,0.0,7.908,7.257326445730233,7.55,149.37973022460938
27,1652283882.225,160.0,0.0,0.0,7.908,7.4720995525106835,8.29,149.37973022460938
28,1652283882.293,153.0,0.0,0.0,10.43856,8.451263254904617,8.92,149.37973022460938
29,1652283882.361,166.0,0.0,0.0,10.0168,9.008376438344305,8.92,149.37973022460938
30,1652283882.422,157.0,0.0,0.0,10.0168,9.34123499678144,9.55,149.37973022460938
31,1652283882.482,160.0,0.0,0.0,11.80928,10.155882663859442,10.28,149.37973022460938
32,1652283882.539,151.0,0.0,0.0,11.80928,10.701632956452713,10.28,149.37973022460938
33,1652283882.593,161.0,0.0,0.0,12.75824,11.380473953248595,11.23,149.37973022460938
34,1652283882.646,152.0,0.0,0.0,13.7072,11.953864386648961,11.23,149.37973022460938
35,1652283882.711,160.0,0.0,0.0,13.7072,12.679426853599647,12.28,149.37973022460938
36,1652283882.775,160.0,0.0,0.0,14.7616,13.452772625852722,12.28,149.37973022460938
37,1652283882.831,155.0,0.0,0.0,14.7616,13.994389422527439,13.43,149.37973022460938
38,1652283882.887,160.0,0.0,0.0,16.8704,15.184535401242282,14.79,149.37973022460938
39,1652283882.938,155.0,0.0,0.0,16.8704,15.882177123628596,14.79,149.37973022460938
40,1652283882.989,159.0,0.0,0.0,16.02688,15.942057830525453,16.47,149.37973022460938
41,1652283883.048,150.0,0.0,0.0,17.3976,16.154713951344036,16.47,149.37973022460938
42,1652283883.103,140.0,0.0,0.0,17.3976,16.760112639777812,18.05,153.41949462890625
43,1652283883.156,130.0,0.0,0.0,18.87376,17.25514703664385,18.05,153.41949462890625
44,1652283883.213,122.0,0.0,0.0,18.87376,18.147334079414797,20.46,153.41949462890625
45,1652283883.268,112.0,0.0,0.0,21.6152,19.45263282252911,20.46,153.41949462890625
46,1652283883.322,108.0,0.0,0.0,21.6152,20.644649974585455,22.35,153.41949462890625
47,1652283883.379,100.0,0.0,0.0,24.2512,22.324894175920505,22.35,153.41949462890625
48,1652283883.433,93.0,0.0,0.0,24.2512,23.494747593460136,25.19,153.41949462890625
49,1652283883.487,88.0,0.0,0.0,26.25456,25.058405649071187,27.39,153.41949462890625
50,1652283883.541,82.0,0.0,0.0,26.25456,25.843550700340945,27.39,153.41949462890625
51,1652283883.594,76.0,0.0,0.0,29.62864,28.32804956951595,31.06,153.41949462890625
52,1652283883.644,73.0,0.0,0.0,29.62864,29.18174553227395,31.06,153.41949462890625
53,1652283883.697,68.0,0.0,0.0,33.7408,32.37008470758936,34.53,153.41949462890625
54,1652283883.753,67.0,0.0,0.0,37.00944,33.78877828469249,34.53,153.41949462890625
55,1652283883.805,61.0,0.0,0.0,37.00944,36.16216256361669,37.99,153.41949462890625
56,1652283883.855,58.0,0.0,0.0,40.27808,37.55262950025284,37.99,153.41949462890625
57,1652283883.907,55.0,0.0,0.0,40.27808,39.65070547203889,42.29,153.41949462890625
58,1652283883.958,53.0,0.0,0.0,45.55008,41.36928894901284,42.29,153.41949462890625
59,1652283884.008,59.0,0.0,0.0,45.55008,44.11352291975963,46.07,153.41949462890625
60,1652283884.061,47.0,0.0,0.0,46.07728,45.515066099647,46.07,153.41949462890625
61,1652283884.111,45.0,0.0,0.0,46.07728,45.97819537539726,54.05,150.82168579101562
62,1652283884.162,42.0,0.0,0.0,55.8832,50.11986987938478,54.05,150.82168579101562
63,1652283884.213,41.0,0.0,0.0,55.8832,55.105531886991,58.25,150.82168579101562
64,1652283884.265,39.0,0.0,0.0,61.99872,58.770198137712086,58.25,150.82168579101562
65,1652283884.318,36.0,0.0,0.0,61.99872,61.66518559979333,65.59,150.82168579101562
66,1652283884.368,34.0,0.0,0.0,69.37952,66.0325945067791,65.59,150.82168579101562
67,1652283884.42,32.0,0.0,0.0,69.37952,69.11479250389182,72.84,150.82168579101562
68,1652283884.472,30.0,0.0,0.0,76.86576,74.59664207995165,72.84,150.82168579101562
69,1652283884.522,29.0,0.0,0.0,76.86576,76.7087171652418,79.76,150.82168579101562
70,1652283884.573,27.0,0.0,0.0,85.4064,83.43209905598484,79.76,150.82168579101562
71,1652283884.624,27.0,0.0,0.0,85.4064,85.30178582857353,88.58,150.82168579101562
72,1652283884.675,28.0,0.0,0.0,90.04576,88.9714852932622,88.58,150.82168579101562
