,time,rtt,queue_delay,packet_loss,server_sending_rate,sending_rate_ewma,delivery_rate,bandwidth
0,1648199340.044,47.0,0.0,0.0,6.8536,6.8536,0.0,48.0
1,1648199340.112,67.0,0.0,0.0,12.1256,7.5126,0.0,48.0
2,1648199340.174,62.0,0.0,0.0,12.1256,9.759551080322268,18.99,48.0
3,1648199340.241,65.0,0.0,0.0,24.2512,12.427732367156262,18.99,48.0
4,1648199340.315,55.0,0.0,0.0,12.44192,17.46872307671954,24.03,48.0
5,1648199340.383,53.0,0.0,0.0,12.44192,14.697925688373479,24.03,48.0
6,1648199340.444,56.0,0.0,0.0,20.45536,14.766029115670097,20.88,48.0
7,1648199340.51,56.0,0.0,0.0,8.4352,16.39949493312634,20.88,48.0
8,1648199340.574,63.0,0.0,0.0,8.4352,13.103723470321372,20.04,48.0
9,1648199340.645,60.0,0.0,0.0,22.45872,12.582667403738135,20.04,48.0
10,1648199340.708,52.0,0.0,0.0,8.4352,15.640264375446373,22.25,48.0
11,1648199340.769,56.0,0.0,0.0,8.4352,12.658676456407893,22.25,48.0
12,1648199340.844,65.0,0.0,0.0,20.13904,11.793656461868025,19.94,48.0
13,1648199340.897,52.0,0.0,0.0,20.13904,15.247129385972933,19.94,48.0
14,1648199340.97,63.0,0.0,0.0,11.70384,13.521224787293917,19.94,48.0
15,1648199341.033,54.0,0.0,0.0,19.19008,13.571772896730007,19.94,48.0
16,1648199341.094,55.0,0.0,0.0,19.19008,15.896731524670102,19.94,48.0
17,1648199341.168,60.0,0.0,0.0,11.70384,13.585590087684299,18.99,48.0
18,1648199341.232,54.0,0.0,0.0,19.19008,13.604786434439392,22.25,48.0
19,1648199341.292,56.0,0.0,0.0,19.19008,15.916083454367426,22.25,48.0
20,1648199341.363,60.0,0.0,0.0,11.70384,14.074245066844457,19.94,48.0
21,1648199341.423,59.0,0.0,0.0,20.13904,14.147727931028697,19.94,48.0
22,1648199341.493,61.0,0.0,0.0,20.13904,17.066042504174785,19.94,48.0
23,1648199341.557,53.0,0.0,0.0,10.75488,14.679534430165575,19.94,48.0
24,1648199341.618,56.0,0.0,0.0,20.13904,14.228460372760633,18.99,48.0
25,1648199341.693,61.0,0.0,0.0,20.13904,17.486399533061658,18.99,48.0
26,1648199341.752,50.0,0.0,0.0,10.75488,14.895139306401587,22.25,48.0
27,1648199341.819,62.0,0.0,0.0,20.13904,14.354843992839406,22.25,48.0
28,1648199341.888,59.0,0.0,0.0,20.13904,17.54311991010118,19.94,48.0
29,1648199341.947,59.0,0.0,0.0,20.13904,18.61735930277171,19.94,48.0
30,1648199342.017,61.0,0.0,0.0,10.75488,18.18553637334241,19.94,48.0
31,1648199342.079,53.0,0.0,0.0,10.75488,14.566130050865658,19.94,48.0
32,1648199342.142,56.0,0.0,0.0,20.13904,14.161984807648548,18.99,48.0
33,1648199342.211,61.0,0.0,0.0,8.4352,15.993585610637831,18.99,48.0
34,1648199342.272,60.0,0.0,0.0,8.4352,12.865786877720074,19.94,48.0
35,1648199342.342,61.0,0.0,0.0,22.45872,12.460627599299354,19.94,48.0
36,1648199342.405,54.0,0.0,0.0,8.4352,15.57766906925733,22.25,48.0
37,1648199342.466,56.0,0.0,0.0,8.4352,12.621984237130578,22.25,48.0
38,1648199342.541,60.0,0.0,0.0,22.45872,12.067149165627193,19.94,48.0
39,1648199342.599,49.0,0.0,0.0,8.4352,15.375850464681891,19.94,48.0
40,1648199342.669,64.0,0.0,0.0,8.4352,12.503681876391898,18.99,48.0
41,1648199342.735,57.0,0.0,0.0,20.13904,11.724095619947928,18.99,48.0
42,1648199342.796,60.0,0.0,0.0,20.13904,15.206354097532955,19.94,48.0
43,1648199342.866,61.0,0.0,0.0,11.70384,13.500310777503552,19.94,48.0
44,1648199342.929,53.0,0.0,0.0,19.19008,13.561045914230412,22.25,48.0
45,1648199342.99,56.0,0.0,0.0,19.19008,15.890443564469534,22.25,48.0
46,1648199343.066,67.0,0.0,0.0,11.70384,14.062738004288773,19.94,48.0
47,1648199343.119,51.0,0.0,0.0,20.13904,14.14098270222103,19.94,48.0
48,1648199343.191,64.0,0.0,0.0,20.13904,17.062582816047023,19.94,48.0
49,1648199343.254,55.0,0.0,0.0,10.75488,14.677759925210642,19.94,48.0
50,1648199343.315,56.0,0.0,0.0,20.13904,14.227420190534854,18.99,48.0
51,1648199343.39,61.0,0.0,0.0,20.13904,17.485932704148237,18.99,48.0
52,1648199343.453,53.0,0.0,0.0,10.75488,14.894899865680523,22.25,48.0
53,1648199343.512,53.0,0.0,0.0,20.13904,14.3547036370847,22.25,48.0
54,1648199343.584,65.0,0.0,0.0,20.13904,17.543056919095527,19.94,48.0
55,1648199343.645,60.0,0.0,0.0,20.13904,18.617322378600672,19.94,48.0
56,1648199343.715,60.0,0.0,0.0,10.75488,18.185517434605146,19.94,48.0
57,1648199343.778,55.0,0.0,0.0,10.75488,14.566120337018086,19.94,48.0
58,1648199343.839,57.0,0.0,0.0,20.13904,14.16197911356944,18.99,48.0
59,1648199343.913,64.0,0.0,0.0,8.4352,15.993583055161785,18.99,48.0
60,1648199343.967,53.0,0.0,0.0,8.4352,12.865785379746933,19.94,48.0
61,1648199344.039,64.0,0.0,0.0,22.45872,12.460626830975544,19.94,48.0
62,1648199344.103,54.0,0.0,0.0,8.4352,15.577668675177183,19.94,48.0
63,1648199344.164,56.0,0.0,0.0,8.4352,12.621984006128029,22.25,48.0
64,1648199344.239,61.0,0.0,0.0,22.45872,12.06714906195433,19.94,48.0
65,1648199344.302,54.0,0.0,0.0,8.4352,15.375850411507157,19.94,48.0
66,1648199344.362,55.0,0.0,0.0,8.4352,12.503681845221843,18.99,48.0
67,1648199344.433,61.0,0.0,0.0,20.13904,11.724095605958954,18.99,48.0
68,1648199344.494,60.0,0.0,0.0,20.13904,15.206354089332876,19.94,48.0
69,1648199344.563,61.0,0.0,0.0,11.70384,14.118380695172657,19.94,48.0
70,1648199344.626,54.0,0.0,0.0,19.19008,13.87805949779562,22.25,48.0
71,1648199344.687,56.0,0.0,0.0,19.19008,16.076271106984198,22.25,48.0
72,1648199344.762,61.0,0.0,0.0,11.70384,14.69467359110101,19.94,48.0
73,1648199344.82,48.0,0.0,0.0,19.19008,14.173645273609456,19.94,48.0
74,1648199344.888,63.0,0.0,0.0,19.19008,16.249538061996166,18.99,48.0
75,1648199344.957,58.0,0.0,0.0,15.07792,16.168691239379065,18.99,48.0
76,1648199345.018,60.0,0.0,0.0,16.65952,15.915010074645787,19.94,48.0
77,1648199345.087,62.0,0.0,0.0,16.65952,16.27765420668249,19.94,48.0
78,1648199345.151,54.0,0.0,0.0,18.03024,16.91610230992775,22.25,48.0
79,1648199345.211,55.0,0.0,0.0,12.75824,16.7181529409513,22.25,48.0
80,1648199345.281,61.0,0.0,0.0,12.75824,14.535430389976423,19.94,48.0
81,1648199345.343,60.0,0.0,0.0,20.13904,14.722596378499365,19.94,48.0
82,1648199345.412,60.0,0.0,0.0,10.75488,16.187877667646447,19.94,48.0
83,1648199345.476,56.0,0.0,0.0,10.75488,13.541513050541193,19.94,48.0
84,1648199345.536,56.0,0.0,0.0,20.13904,13.561373133386084,18.99,48.0
85,1648199345.612,61.0,0.0,0.0,10.75488,16.013993902930217,18.99,48.0
86,1648199345.669,47.0,0.0,0.0,10.75488,13.452326513871709,22.25,48.0
87,1648199345.732,57.0,0.0,0.0,20.13904,13.73497842628515,22.25,48.0
88,1648199345.805,58.0,0.0,0.0,8.4352,16.1612112524596,19.94,48.0
89,1648199345.862,56.0,0.0,0.0,8.4352,12.96404595145398,19.94,48.0
90,1648199345.936,65.0,0.0,0.0,22.45872,12.511025556216033,19.94,48.0
91,1648199345.999,54.0,0.0,0.0,8.4352,15.603518631693204,19.94,48.0
92,1648199346.06,55.0,0.0,0.0,8.4352,12.637136776048676,18.99,48.0
93,1648199346.134,63.0,0.0,0.0,20.13904,11.783989554158591,18.99,48.0
94,1648199346.188,53.0,0.0,0.0,20.13904,15.241462822152045,19.94,48.0
95,1648199346.261,63.0,0.0,0.0,17.50304,16.756942965451337,19.94,48.0
96,1648199346.324,53.0,0.0,0.0,13.28544,16.593160164194963,22.25,48.0
97,1648199346.385,57.0,0.0,0.0,13.28544,15.224364832576196,22.25,48.0
98,1648199346.459,60.0,0.0,0.0,12.23104,13.807586012984299,19.94,48.0
99,1648199346.523,54.0,0.0,0.0,18.55744,13.830464537360447,19.94,48.0
100,1648199346.584,56.0,0.0,0.0,18.55744,15.786573768115828,18.99,48.0
101,1648199346.653,60.0,0.0,0.0,20.13904,17.835939769153818,18.99,48.0
102,1648199346.714,60.0,0.0,0.0,11.70384,17.734604928158767,19.94,48.0
103,1648199346.784,61.0,0.0,0.0,11.70384,14.797073219835337,19.94,48.0
104,1648199346.847,55.0,0.0,0.0,19.19008,15.044974458183974,22.25,48.0
105,1648199346.908,56.0,0.0,0.0,11.70384,15.824515232934504,22.25,48.0
106,1648199346.983,65.0,0.0,0.0,11.70384,13.553179754026457,19.94,48.0
107,1648199347.037,53.0,0.0,0.0,20.13904,14.629382884702228,19.94,48.0
108,1648199347.11,67.0,0.0,0.0,10.75488,15.736360152873546,19.94,48.0
109,1648199347.173,55.0,0.0,0.0,10.75488,13.309925682658253,19.94,48.0
110,1648199347.233,54.0,0.0,0.0,20.13904,13.425620870132438,19.94,48.0
111,1648199347.308,60.0,0.0,0.0,10.75488,15.95306892269215,18.99,48.0
112,1648199347.372,54.0,0.0,0.0,10.75488,13.421077547109588,22.25,48.0
113,1648199347.432,56.0,0.0,0.0,20.13904,13.490776052395049,22.25,48.0
114,1648199347.503,61.0,0.0,0.0,8.4352,15.692350263474369,19.94,48.0
115,1648199347.563,58.0,0.0,0.0,8.4352,12.689208247705555,19.94,48.0
116,1648199347.634,61.0,0.0,0.0,22.45872,12.370058842138281,19.94,48.0
117,1648199347.696,54.0,0.0,0.0,22.45872,17.28415554442804,19.94,48.0
118,1648199347.757,56.0,0.0,0.0,8.4352,13.622295278850517,18.99,48.0
119,1648199347.832,61.0,0.0,0.0,22.45872,12.516084078298508,18.99,48.0
120,1648199347.89,48.0,0.0,0.0,22.45872,17.359053192869965,22.25,48.0
121,1648199347.958,62.0,0.0,0.0,15.49968,17.838363944355663,22.25,48.0
122,1648199348.026,57.0,0.0,0.0,11.38752,16.035250405920028,19.94,48.0
123,1648199348.082,56.0,0.0,0.0,11.38752,14.501136268028455,19.94,48.0
124,1648199348.157,60.0,0.0,0.0,23.93488,16.92650546751892,19.94,48.0
125,1648199348.22,53.0,0.0,0.0,8.54064,18.4159420786313,19.94,48.0
126,1648199348.282,56.0,0.0,0.0,8.54064,14.329360774119566,18.99,48.0
127,1648199348.351,59.0,0.0,0.0,20.13904,14.966968909127782,18.99,48.0
128,1648199348.411,59.0,0.0,0.0,11.70384,16.05286688252339,19.94,48.0
129,1648199348.482,61.0,0.0,0.0,11.70384,13.934494748979816,19.94,48.0
130,1648199348.545,53.0,0.0,0.0,19.19008,14.602550252871819,22.25,48.0
131,1648199348.606,55.0,0.0,0.0,11.70384,15.565174286412407,22.25,48.0
132,1648199348.681,61.0,0.0,0.0,11.70384,13.436788751305135,19.94,48.0
133,1648199348.739,48.0,0.0,0.0,19.19008,13.528464899389203,19.94,48.0
134,1648199348.807,64.0,0.0,0.0,11.70384,14.935565171736686,18.99,48.0
135,1648199348.874,58.0,0.0,0.0,11.70384,13.154223128088567,18.99,48.0
136,1648199348.935,60.0,0.0,0.0,20.13904,13.608427961557776,19.94,48.0
