,time,rtt,queue_delay,packet_loss,server_sending_rate,sending_rate_ewma,delivery_rate,bandwidth
0,1641996556.598,51.0,0.0,0.0,27.62528,3.45316,0.0,0.0
1,1641996556.661,80.0,0.0,0.0,14.7616,16.525027490367886,14.06,0.0
2,1641996556.716,96.0,0.0,0.0,14.7616,15.553018002373854,12.38,0.0
3,1641996556.768,104.0,0.0,0.0,21.088,17.25573161517021,9.65,0.0
4,1641996556.825,130.0,0.0,0.0,21.088,19.368095889256132,11.33,0.0
5,1641996556.878,146.0,0.0,0.0,21.088,20.316115086651205,10.7,0.0
6,1641996556.93,174.0,0.0,0.0,12.6528,16.632871117513382,11.75,0.0
7,1641996556.981,190.0,0.0,0.0,8.4352,12.384682011811568,11.96,0.0
8,1641996557.034,219.0,0.0,0.0,16.65952,14.213701821012952,11.96,0.0
9,1641996557.084,245.0,0.0,0.0,8.4352,11.39904521807143,10.07,0.0
10,1641996557.139,260.0,0.0,0.0,16.8704,13.874070405810874,12.17,0.0
11,1641996557.189,245.0,0.0,0.0,8.4352,11.416950758259746,12.17,0.0
12,1641996557.249,248.0,0.0,0.0,12.6528,12.167487065081362,12.38,0.0
13,1641996557.303,241.0,0.0,0.0,12.6528,12.462219598406934,11.96,0.0
14,1641996557.355,233.0,0.0,0.0,12.6528,12.567268407947456,11.75,0.0
15,1641996557.41,220.0,0.0,0.0,16.8704,13.607712094157348,14.48,0.0
16,1641996557.467,238.0,0.0,0.0,8.4352,12.621845941793508,11.75,0.0
17,1641996557.525,234.0,0.0,0.0,8.4352,10.31414709932733,11.75,0.0
18,1641996557.58,244.0,0.0,0.0,13.28544,11.285581021456759,10.28,11.432647705078125
19,1641996557.635,270.0,0.0,0.0,11.80928,11.648832350696525,10.7,11.432647705078125
20,1641996557.685,271.0,0.0,0.0,8.4352,10.083500748234753,9.23,11.432647705078125
21,1641996557.735,282.0,0.0,0.0,12.6528,11.025948494738206,12.59,11.432647705078125
22,1641996557.788,286.0,0.0,0.0,8.4352,9.597915796117608,9.86,11.432647705078125
